Histogram of latencies measured:
1 , 0
2 , 0
3 , 0
4 , 0
5 , 0
6 , 0
7 , 0
8 , 0
9 , 0
10 , 0
11 , 0
12 , 0
13 , 0
14 , 0
15 , 0
16 , 0
17 , 0
18 , 0
19 , 0
20 , 0
21 , 0
22 , 0
23 , 0
24 , 0
25 , 0
26 , 0
27 , 0
28 , 0
29 , 3
30 , 3
31 , 7
32 , 13
33 , 5
34 , 6
35 , 5
36 , 9
37 , 9
38 , 7
39 , 6
40 , 0
41 , 2
42 , 1
43 , 3
44 , 1
45 , 2
46 , 0
47 , 1
48 , 2
49 , 1
50 , 0
51 , 1
52 , 5
53 , 5
54 , 3
55 , 2
56 , 0
57 , 0
58 , 0
59 , 0
60 , 2
61 , 0
62 , 0
63 , 0
64 , 1
65 , 1
66 , 13
67 , 34
68 , 35
69 , 110
70 , 313
71 , 580
72 , 442
73 , 346
74 , 361
75 , 254
76 , 190
77 , 140
78 , 122
79 , 89
80 , 45
81 , 43
82 , 54
83 , 44
84 , 42
85 , 43
86 , 22
87 , 20
88 , 12
89 , 31
90 , 132
91 , 135
92 , 124
93 , 105
94 , 75
95 , 53
96 , 23
97 , 21
98 , 28
99 , 14
100 , 17
101 , 13
102 , 21
103 , 7
104 , 6
105 , 10
106 , 11
107 , 10
108 , 8
109 , 6
110 , 4
111 , 3
112 , 8
113 , 2
114 , 3
115 , 4
116 , 9
117 , 10
118 , 41
119 , 57
120 , 64
121 , 63
122 , 73
123 , 46
124 , 31
125 , 37
126 , 21
127 , 21
128 , 17
129 , 8
130 , 9
131 , 7
132 , 13
133 , 6
134 , 7
135 , 4
136 , 7
137 , 5
138 , 4
139 , 3
140 , 4
141 , 3
142 , 4
143 , 6
144 , 3
145 , 2
146 , 2
147 , 3
148 , 1
149 , 0
150 , 3
151 , 3
152 , 5
153 , 3
154 , 1
155 , 2
156 , 3
157 , 2
158 , 0
159 , 0
160 , 0
161 , 1
162 , 1
163 , 0
164 , 2
165 , 1
166 , 2
167 , 0
168 , 1
169 , 2
170 , 1
171 , 1
172 , 1
173 , 0
174 , 3
175 , 0
176 , 1
177 , 0
178 , 1
179 , 0
180 , 2
181 , 1
182 , 0
183 , 0
184 , 0
185 , 0
